FEC_NAC,GENERO,EDO_CIVIL,NIV_ESTUDIOS,TIPO_CASA,DEP_ECONOMICOS,SUELDO_SOL,CP,DOM_ANIOS,DOM_MESES,TRA_ANIOS,TRA_MESES,HIJOS,CAP_PAGO,PUNTOS_BURO,OTRA_CUENTA,CLASE,CLASE2,CLASE3,CLASE4,VALORNUEVO,FRESCURANUEVO
07/06/1964,MASCULINO,DIVORCIADO,BACHILLERATO,PROPIA,0,12000,28000,11,0,35,0,SINODATOS,3273.89,222.86,NO,POTENCIALES,V1F1,V1,F1,V4,F2
22/10/1991,FEMENINO,SOLTERO,SECUNDARIA,PADRES,0,3600,28989,0,3,0,3,SINODATOS,1008,0,NO,PERDIDOS,V1F1,V1,F1,V3,F5
30/06/1985,MASCULINO,CASADO,DOCTORADO,FAMILIARES,0,13000,28979,2,7,3,0,NO,1705.15,293.9,NO,POTENCIALES,V2F2,V2,F2,V3,F2
13/02/1994,FEMENINO,UNIONLIBRE,LICENCIATURA,PADRES,0,6000,28000,1,0,1,0,NO,1420.96,0,NO,POTENCIALES,V3F2,V3,F2,V4,F3
18/03/1968,FEMENINO,SOLTERO,SECUNDARIA,FAMILIARES,0,4000,28000,0,1,0,1,SINODATOS,1018.54,191.58,NO,POTENCIALES,V2F2,V2,F2,V3,F3
08/09/1994,FEMENINO,SOLTERO,BACHILLERATO,RENTADA,2,8000,28000,5,0,1,0,NO,500,9.52,NO,PERDIDOS,V1F1,V1,F1,V2,F3
23/08/1996,FEMENINO,SOLTERO,BACHILLERATO,PADRES,0,3500,28000,3,0,12,0,NO,875,0,SI,CAMPEONES,V4F5,V4,F5,V5,F5
22/07/1991,FEMENINO,SOLTERO,BACHILLERATO,RENTADA,0,8000,28000,4,0,2,0,NO,2156,165.14,NO,POTENCIALES,V3F2,V3,F2,V4,F3
28/07/1986,FEMENINO,SOLTERO,BACHILLERATO,PAGANDOLA,0,5200,28000,1,6,7,0,NO,654.54,294,SI,POTENCIALES,V2F2,V2,F2,V3,F5
19/06/1977,FEMENINO,SOLTERO,LICENCIATURA,PROPIA,0,9000,28000,2,6,2,6,NO,1018.54,97.02,NO,PERDIDOS,V1F1,V1,F1,V1,F2
29/02/1968,MASCULINO,CASADO,LICENCIATURA,PROPIA,1,8400,28600,12,0,1,0,SINODATOS,1705.15,1649.44,SI,PERDIDOS,V1F1,V1,F1,V1,F1
16/03/1961,FEMENINO,CASADO,BACHILLERATO,PROPIA,0,4000,28000,1,7,5,0,SINODATOS,1120,0,SI,POTENCIALES,V2F2,V2,F2,V2,F2
02/01/1992,FEMENINO,SOLTERO,SECUNDARIA,PAGANDOLA,0,6000,28048,0,1,5,0,SINODATOS,584.41,297,NO,PERDIDOS,V1F1,V1,F1,V2,F2
06/02/1994,MASCULINO,SOLTERO,LICENCIATURA,PADRES,0,15000,28984,0,5,4,0,NO,2046.18,424.5,SI,ATENCION ALTA,V4F2,V4,F2,V3,F2
04/01/1988,FEMENINO,UNIONLIBRE,LICENCIATURA,PAGANDOLA,0,13000,28985,5,0,7,0,SINODATOS,1165.42,405.9,SI,PERDIDOS,V0F0,V0,F0,V2,F2
17/07/1982,FEMENINO,CASADO,LICENCIATURA,FAMILIARES,0,11000,28000,1,4,7,6,SINODATOS,3273.89,296.96,SI,POTENCIALES,V1F2,V1,F2,V2,F3
04/01/1986,MASCULINO,SOLTERO,LICENCIATURA,PADRES,0,10000,48885,20,0,3,0,NO,3000,92.12,NO,PERDIDOS,V2F1,V2,F1,V2,F2
26/05/1987,MASCULINO,CASADO,LICENCIATURA,PADRES,3,9000,28237,3,0,7,0,SINODATOS,1705.15,401.1,NO,POTENCIALES,V3F2,V3,F2,V3,F2
04/12/1992,FEMENINO,SOLTERO,LICENCIATURA,PADRES,0,10000,28140,0,7,0,7,NO,1420.96,27.6,SI,POTENCIALES,V3F2,V3,F2,V4,F3
27/05/1974,MASCULINO,CASADO,LICENCIATURA,RENTADA,2,30000,28000,1,2,13,0,SINODATOS,655.15,704.6,NO,PERDIDOS,V1F1,V1,F1,V1,F1
